,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,,,,,,Total Population,,,,,Hispanic/Latino (of any race),,,,,White non-Hispanic,,,,,Black non-Hispanic,,,,,Asian non-Hispanic,,,,
Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration,Hsp_10,Hsp_20,Pop Change,Natural Change,Net Migration,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration,BNH_10,BNH_20,Pop Change,Natural Change,Net Migration,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
93,NTA2020,Bronx,BX0601,West Farms,0,"18,205","20,147","1,942","1,745",197,"13,450","14,106",656,"1,288",-632,207,290,83,10,73,"4,178","5,020",842,418,424,133,230,97,21,76
94,NTA2020,Bronx,BX0602,Tremont,0,"30,493","32,150","1,657","3,154","-1,497","19,370","19,902",532,"2,161","-1,629",516,599,83,4,79,"10,054","10,618",564,965,-401,141,181,40,33,7
95,NTA2020,Bronx,BX0603,Belmont,0,"34,650","35,825","1,175","3,544","-2,369","20,819","21,837","1,018","2,949","-1,931","5,491","4,732",-759,-254,-505,"7,206","7,443",237,816,-579,655,738,83,26,57
96,NTA2020,Bronx,BX0701,University Heights (North)-Fordham,0,"44,229","46,538","2,309","3,847","-1,538","31,352","34,534","3,182","4,184","-1,002","1,724","1,800",76,-490,566,"8,224","7,348",-876,57,-933,"2,117","1,661",-456,134,-590
97,NTA2020,Bronx,BX0702,Bedford Park,0,"53,330","55,521","2,191","6,064","-3,873","34,788","37,854","3,066","4,830","-1,764","4,428","3,461",-967,-53,-914,"10,356","10,310",-46,"1,000","-1,046","2,612","2,325",-287,267,-554
98,NTA2020,Bronx,BX0703,Norwood,0,"40,494","43,466","2,972","4,413","-1,441","23,785","26,570","2,785","3,250",-465,"3,998","3,093",-905,-46,-859,"7,262","6,437",-825,398,"-1,223","4,451","6,049","1,598",876,722
99,NTA2020,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,0,"34,844","35,777",933,"2,142","-1,209","23,000","25,505","2,505","2,708",-203,"4,887","3,741","-1,146",-659,-487,"4,698","4,284",-414,38,-452,"1,687","1,287",-400,123,-523
100,NTA2020,Bronx,BX0802,Kingsbridge-Marble Hill,0,"22,599","22,807",208,"1,454","-1,246","13,562","14,757","1,195","1,488",-293,"4,288","3,561",-727,-166,-561,"3,402","2,872",-530,20,-550,963,923,-40,115,-155
101,NTA2020,Bronx,BX0803,Riverdale-Spuyten Duyvil,0,"43,885","47,927","4,042","-2,018","6,060","7,442","11,840","4,398",511,"3,887","29,846","26,666","-3,180","-2,369",-811,"3,307","4,074",767,-365,"1,132","2,330","3,092",762,211,551
102,NTA2020,Bronx,BX0901,Soundview-Bruckner-Bronx River,0,"69,379","74,342","4,963","7,155","-2,192","43,199","46,244","3,045","5,356","-2,311","1,402","1,610",208,52,156,"20,546","18,855","-1,691","1,291","-2,982","1,954","4,293","2,339",461,"1,878"
